Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Raidmax Aztec,/static/forever/img/no-image.png,,Raidmax,ATX-619WY,ATX Mid Tower,Black / Yellow,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"520 mm x 203 mm x 450 mm, 20.472"" x 7.992"" x 17.717""","47.502 L, 1.678 ft³"
Rosewill Future,https://m.media-amazon.com/images/I/41jfEsV2xoL.jpg,,Rosewill,FUTURE,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","290 mm / 11.417""","3 x External 5.25"", 6 x Internal 3.5""",7 x Full-Height,"489 mm x 189 mm x 430 mm, 19.252"" x 7.441"" x 16.929""","39.741 L, 1.403 ft³"
Silverstone RV03B-W,https://m.media-amazon.com/images/I/41PtCODu3WL.jpg,,Silverstone,"RV03B-W, SST-RV03B-W",ATX Full Tower,Black / White,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","344 mm / 13.543""","7 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",8 x Full-Height,"569 mm x 234 mm x 521 mm, 22.402"" x 9.213"" x 20.512""","69.369 L, 2.45 ft³"
Sunbeam IC-QB-SVBK,/static/forever/img/no-image.png,,Sunbeam,IC-QB-SVBK,ATX Mid Tower,Black / Silver,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 3 x Internal 3.5""",7 x Full-Height,"430 mm x 199 mm x 451 mm, 16.929"" x 7.835"" x 17.756""","38.592 L, 1.363 ft³"
Thermaltake V9 BlacX,https://images-na.ssl-images-amazon.com/images/I/31mllcvWmNL.jpg,,Thermaltake,VM400M1W2Z,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","315 mm / 12.402""","3 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"480 mm x 215 mm x 490 mm, 18.898"" x 8.465"" x 19.291""","50.568 L, 1.786 ft³"
Xigmatek Utgard,/static/forever/img/no-image.png,,Xigmatek,CPC-T90DB-U01,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","330 mm / 12.992""","9 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"490 mm x 205 mm x 515 mm, 19.291"" x 8.071"" x 20.276""","51.732 L, 1.827 ft³"
Apevia X-Trooper,//cdna.pcpartpicker.com/static/forever/images/product/a0d07f79e0ec21d968a3f8b2d79f7b39.256p.jpg,,Apevia,X-TRP-GN,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"495 mm x 190 mm x 476 mm, 19.488"" x 7.48"" x 18.74""","44.768 L, 1.581 ft³"
Apevia X-Trooper,//cdna.pcpartpicker.com/static/forever/images/product/fe36ebace4d1ca1ed8eafae91d3bd774.med.256p.jpg,,Apevia,X-TRP-RD,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"495 mm x 190 mm x 476 mm, 19.488"" x 7.48"" x 18.74""","44.768 L, 1.581 ft³"
Apevia X-Trooper,https://images-na.ssl-images-amazon.com/images/I/41p9NrpJp2L.jpg,,Apevia,X-TRP-NW-BK/450,ATX Mid Tower,Black,450 W,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 6 x Internal 3.5""",7 x Full-Height,"495 mm x 190 mm x 476 mm, 19.488"" x 7.48"" x 18.74""","44.768 L, 1.581 ft³"
Logisys Area 51,https://images-na.ssl-images-amazon.com/images/I/31Oy3y1bKnL.jpg,,Logisys,CS51WBK,ATX Mid Tower,Black,480 W,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"541 mm x 248 mm x 487 mm, 21.299"" x 9.764"" x 19.173""","65.34 L, 2.307 ft³"
