Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Aerocool Aero-500 - C,//cdna.pcpartpicker.com/static/forever/images/product/8f12df8d65d0844908fb55192fdfd56c.256p.jpg,,Aerocool,Aero-500 Window White - C,ATX Mid Tower,White / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500,/static/forever/img/no-image.png,,Aerocool,Aero-500 Black,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - B,/static/forever/img/no-image.png,,Aerocool,Aero-500 Black -B,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 Black - BC,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - C,/static/forever/img/no-image.png,,Aerocool,Aero-500 Black - C,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500,/static/forever/img/no-image.png,,Aerocool,Aero-500 White,ATX Mid Tower,White / Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - B,/static/forever/img/no-image.png,,Aerocool,Aero-500 White -B,ATX Mid Tower,White / Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 white - BC,ATX Mid Tower,White / Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window Black - BC,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window Blue - BC,ATX Mid Tower,Blue / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - C,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window Blue - C,ATX Mid Tower,Blue / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window Gray - BC,ATX Mid Tower,Gray / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - C,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window Gray - C,ATX Mid Tower,Gray / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Aerocool Aero-500 - BC,/static/forever/img/no-image.png,,Aerocool,Aero-500 Window White - BC,ATX Mid Tower,White / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","374 mm / 14.724""","2 x External 5.25"", 4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 203 mm x 505 mm, 17.323"" x 7.992"" x 19.882""","45.107 L, 1.593 ft³"
Chieftec DX-02B,https://m.media-amazon.com/images/I/51QPthrIMZL.jpg,,Chieftec,DX-02B-OP,ATX Mid Tower,Black / Blue,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, SSI CEB, SSI EEB, XL ATX","340 mm / 13.386""","4 x External 5.25"", 6 x Internal 3.5"", 2 x Internal 2.5""",8 x Full-Height,,
Silverstone ML08,/static/forever/img/no-image.png,,Silverstone,"SST-ML08B-HW, ML08B-HW",HTPC,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,Mini ITX,"330 mm / 12.992""","1 x External 5.25"" Slim, 2 x Internal 2.5""",2 x Full-Height,,
Silverstone ML08,/static/forever/img/no-image.png,,Silverstone,"SST-ML08B-W, ML08B-W",HTPC,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,Mini ITX,"330 mm / 12.992""","1 x External 5.25"" Slim, 2 x Internal 2.5""",2 x Full-Height,,
Logisys CS136BK,https://images-fe.ssl-images-amazon.com/images/I/41F3tVFsM1L.jpg,,Logisys,CS136BK,ATX Mid Tower,Black / Silver,480 W,None,No,USB 2.0 Type-A,Micro ATX,,"2 x External 5.25"", 1 x External 3.5"", 3 x Internal 3.5""",4 x Full-Height,"361 mm x 172 mm x 381 mm, 14.213"" x 6.772"" x 15""","23.657 L, 0.835 ft³"
Thermaltake Suppressor F31,https://images-na.ssl-images-amazon.com/images/I/41MncSmBqJL.jpg,,Thermaltake,CA-1E3-00M1WN-02,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","278 mm / 10.945"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages","2 x External 5.25"", 3 x External 3.5"", 3 x Internal 3.5""",8 x Full-Height,,
DIYPC Futurus,/static/forever/img/no-image.png,,DIYPC,Futurus -BK,MicroATX Mid Tower,Black / Blue,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","345 mm / 13.583""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,,
SHARKOON CA-M,https://m.media-amazon.com/images/I/41ksX--9vLL.jpg,,SHARKOON,4.04E+12,MicroATX Mini Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","250 mm / 9.843"" With Drive Cages, 250 mm / 9.843"" Without Drive Cages","2 x Internal 3.5""",4 x Full-Height,,
Antec P380,/static/forever/img/no-image.png,,Antec,P380B,ATX Full Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI CEB","465 mm / 18.307"" With Drive Cages, 465 mm / 18.307"" Without Drive Cages","1 x External 5.25"" Slim, 8 x Internal 3.5""",9 x Full-Height,,
Rosewill VIPER Z,https://m.media-amazon.com/images/I/51yJLvEbHjL.jpg,,Rosewill,VIPER Z,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX",,"3 x External 5.25"", 7 x Internal 3.5"", 1 x Internal 2.5""",8 x Full-Height,,
RAIJINTEK STYX,//cdna.pcpartpicker.com/static/forever/images/product/4bf56c1f17f5e171db51a5b45db732b6.256p.jpg,,RAIJINTEK,0R200025,MicroATX Mini Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","280 mm / 11.024""","1 x External 5.25"" Slim Slot Load, 3 x Internal 3.5""",4 x Full-Height,,
RAIJINTEK STYX,https://m.media-amazon.com/images/I/41Yor2r7q0L.jpg,,RAIJINTEK,0R200031,MicroATX Mini Tower,Black,None,None,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","280 mm / 11.024""","1 x External 5.25"" Slim Slot Load, 3 x Internal 3.5""",4 x Full-Height,,
Aerocool GT-RS,//cdna.pcpartpicker.com/static/forever/images/product/2e40f5755a2c9db6bc789dc217e04c98.256p.jpg,,Aerocool,"GT-RS Black, EN55248",ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","275 mm / 10.827"" With Drive Cages, 300 mm / 11.811"" Without Drive Cages","1 x External 5.25"", 1 x External 3.5"", 2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
SHARKOON BD28,https://images-na.ssl-images-amazon.com/images/I/41oRtcnj%2BmL.jpg,,SHARKOON,4.04E+12,ATX Mid Tower,Black / Green,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","325 mm / 12.795"" With Drive Cages, 415 mm / 16.339"" Without Drive Cages","2 x External 5.25"", 3 x Internal 3.5"", 5 x Internal 2.5""",7 x Full-Height,,
Silverstone RVX01 Window,//cdna.pcpartpicker.com/static/forever/images/product/5deb7b2af342d69dd8753a3b76113d3b.256p.jpg,,Silverstone,"SST-RVX01BA-W, RVX01BA-W",ATX Mid Tower,Black / Blue,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","347 mm / 13.661""","4 x Internal 3.5""",7 x Full-Height,,
Silverstone RVX01 Window,//cdna.pcpartpicker.com/static/forever/images/product/fdd74d4e0d976d8dff5fb3eab00cacf2.256p.jpg,,Silverstone,"SST-RVX01BR-W, RVX01BR-W",ATX Mid Tower,Black / Red,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","347 mm / 13.661""","4 x Internal 3.5""",7 x Full-Height,,
Silverstone RVX01 Window,//cdna.pcpartpicker.com/static/forever/images/product/9e9a841f2ad9dc54b85251f471fb26be.256p.jpg,,Silverstone,"SST-RVX01BV-W, RVX01BV-W",ATX Mid Tower,Black / Green,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","347 mm / 13.661""","4 x Internal 3.5""",7 x Full-Height,,
Lian Li PC-Q21,https://m.media-amazon.com/images/I/517DhX6NKpL.jpg,,Lian Li,PC-Q21A,Mini ITX Tower,Silver,None,None,No,USB 3.2 Gen 1 Type-A,Mini ITX,"170 mm / 6.693""","1 x External 5.25"" Slim Slot Load, 2 x Internal 3.5""",2 x Full-Height,,
Raidmax Viper II,//cdna.pcpartpicker.com/static/forever/images/product/6976091d25be33ed94ad6c2c41c421c2.256p.jpg,,Raidmax,ATX-A07WBG,ATX Mid Tower,Black / Green,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","280 mm / 11.024"" With Drive Cages, 390 mm / 15.354"" Without Drive Cages","3 x External 5.25"", 3 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
VIVO Athena,https://images-na.ssl-images-amazon.com/images/I/51X9ASdgf7L.jpg,,VIVO,CASE-V04,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","395 mm / 15.551""","1 x External 5.25"", 1 x External 3.5"", 2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,,
Apevia X-Pioneer,/static/forever/img/no-image.png,,Apevia,X-PIONEER-WHT,ATX Mid Tower,White / Blue,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX",,"3 x External 5.25"", 4 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,,
Lian Li PC-V33,https://m.media-amazon.com/images/I/517wjmdbC+L.jpg,,Lian Li,PC-V33B,ATX Mid Tower,Black,None,None,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","330 mm / 12.992""","4 x Internal 3.5""",7 x Full-Height,,
Lian Li PC-V33,https://images-na.ssl-images-amazon.com/images/I/519aL%2BSfQwL.jpg,,Lian Li,PC-V33WX,ATX Mid Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","330 mm / 12.992""","4 x Internal 3.5""",7 x Full-Height,,
BitFenix Pandora ATX,//cdna.pcpartpicker.com/static/forever/images/product/b26ac7f527a54cde15e6043543d3c031.256p.jpg,,BitFenix,BFC-PAN-600-KKWL1-RP,ATX Mid Tower,Black,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","440 mm / 17.323""","4 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,,
Sentey BX1-4284 Plus,/static/forever/img/no-image.png,,Sentey,BX1-4284 Plus,ATX Mid Tower,Black / Blue,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX","270 mm / 10.63""","3 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,,
Diablotek CPA-8818,https://m.media-amazon.com/images/I/21DJZRMjNiL.jpg,,Diablotek,CPA-8818-BK,ATX Mid Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX","330 mm / 12.992""","4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,,
DIYPC D480,//cdna.pcpartpicker.com/static/forever/images/product/31283c58366ecb8092a0d3b7df621897.256p.jpg,,DIYPC,D480-W,ATX Mid Tower,White,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX","415 mm / 16.339""","2 x External 5.25"", 2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
Lian Li PC-Q04,https://m.media-amazon.com/images/I/41E8dGn1-oL.jpg,,Lian Li,PC-Q04A,Mini ITX Tower,Silver,None,None,No,USB 3.2 Gen 1 Type-A,Mini ITX,"190 mm / 7.48""","2 x Internal 3.5"", 1 x Internal 2.5""",2 x Full-Height,,
Lian Li PC-Q04,https://m.media-amazon.com/images/I/41LGdBrLfdL.jpg,,Lian Li,PC-Q04B,Mini ITX Tower,Black,None,None,No,USB 3.2 Gen 1 Type-A,Mini ITX,"190 mm / 7.48""","2 x Internal 3.5"", 1 x Internal 2.5""",2 x Full-Height,,
RIOTORO CR1280 PRISM RGB,//cdna.pcpartpicker.com/static/forever/images/product/dc2fba95387137f3011a2ec83ddd92ef.256p.jpg,,RIOTORO,CR1280,ATX Full Tower,Black,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","4 x Internal 3.5"", 4 x Internal 2.5""",8 x Full-Height,"475 mm x 254 mm x 585 mm, 18.701"" x 10"" x 23.031""","70.58 L, 2.493 ft³"
Aerocool NightHawk Duo,//cdna.pcpartpicker.com/static/forever/images/product/c4e2e1dda9293b2113fd404e02006630.256p.jpg,,Aerocool,"ACCM-PB20033.11, NightHawk Duo-G-BK-v1",ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","358 mm / 14.094""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
MagniumGear Neo V2,//cdna.pcpartpicker.com/static/forever/images/product/c93197233b43c04c7f7a1fe3f4d45974.256p.jpg,,MagniumGear,MG-NE510_BK02,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"405 mm x 210 mm x 450 mm, 15.945"" x 8.268"" x 17.717""","38.273 L, 1.352 ft³"
Silverstone FARA R1 PRO,//cdna.pcpartpicker.com/static/forever/images/product/4a947edbfd8f747e7ad7c0c955471ea4.256p.jpg,,Silverstone,"SST-FAB1B-PRO, FAB1B-PRO",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","322 mm / 12.677""","1 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"390 mm x 207 mm x 446 mm, 15.354"" x 8.15"" x 17.559""","36.006 L, 1.272 ft³"
Silverstone GD04B-USB3.0,//cdna.pcpartpicker.com/static/forever/images/product/79267df72167bd30f6bc2b0e82b3350e.256p.jpg,,Silverstone,SST-GD04B-USB3.0,HTPC,Black,None,None,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX, Thin Mini ITX, Mini DTX","280 mm / 11.024""","1 x External 5.25"", 2 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"150 mm x 439 mm x 323 mm, 5.906"" x 17.283"" x 12.717""","21.27 L, 0.751 ft³"
Streacom ST-F1CB-EVO,//cdna.pcpartpicker.com/static/forever/images/product/4c7c87bf780ebb6f0607f777fefb578c.256p.jpg,,Streacom,ST-F1CB-EVO,HTPC,Black,None,None,No,None,Mini ITX,,"1 x External 5.25"" Slim Slot Load, 3 x Internal 2.5""",,,
Silverstone RL08BW-RGB,https://m.media-amazon.com/images/I/416zM4-XRZL.jpg,,Silverstone,SST-RL08BW-RGB,MicroATX Mini Tower,Black / White,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX, Mini DTX","345 mm / 13.583""","1 x External 5.25"", 3 x Internal 3.5"", 2 x Internal 2.5""",5 x Full-Height,,
Thermaltake Level 20 HT Snow Edition,//cdna.pcpartpicker.com/static/forever/images/product/942eb64ffd78a2efc1b18cd4583e920e.256p.jpg,,Thermaltake,CA-1P6-00F6WN-00,ATX Full Tower,,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","4 x Internal 3.5"", 1 x Internal 2.5""",8 x Full-Height,"503 mm x 468 mm x 613 mm, 19.803"" x 18.425"" x 24.134""","144.303 L, 5.096 ft³"
Jonsbo V9,//cdna.pcpartpicker.com/static/forever/images/product/ad75a1ac604bcd437364787c2c7405ed.256p.jpg,,Jonsbo,V9 Silver,MicroATX Mini Tower,Silver,None,Tempered Glass,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","290 mm / 11.417""","1 x Internal 3.5""",4 x Full-Height,"337 mm x 165 mm x 317 mm, 13.268"" x 6.496"" x 12.48""","17.627 L, 0.622 ft³"
MSI Creator 400M,//cdna.pcpartpicker.com/static/forever/images/product/e80e1656b4c46aa5d9416a80d539ed00.256p.jpg,,MSI,"CREATOR 400M, 306-7G04M21-809, 306-7G04M11-809",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","456 mm / 17.953""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"550 mm x 236 mm x 504 mm, 21.654"" x 9.291"" x 19.843""","65.419 L, 2.31 ft³"
Noua Iron V8,https://m.media-amazon.com/images/I/417J7OcRM+L.jpg,,Noua,CS0619PW-V8K615,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"460 mm x 210 mm x 495 mm, 18.11"" x 8.268"" x 19.488""","47.817 L, 1.689 ft³"
Corsair Graphite Series 600T,https://m.media-amazon.com/images/I/51AQp6NfD7L.jpg,,Corsair,"600T Silver, CC600T-SILVER",ATX Mid Tower,Silver / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","330 mm / 12.992"" With Drive Cages, 457 mm / 17.992"" Without Drive Cages","4 x External 5.25"", 6 x Internal 3.5""",8 x Full-Height,"591 mm x 264 mm x 508 mm, 23.268"" x 10.394"" x 20""","79.26 L, 2.799 ft³"
Antec Twelve Hundred,/static/forever/img/no-image.png,,Antec,Twelve Hundred 750 Blue,ATX Full Tower,Black,750 W,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX, Thin Mini ITX","444 mm / 17.48""","3 x External 5.25"", 9 x Internal 3.5""",7 x Full-Height,"513 mm x 213 mm x 581 mm, 20.197"" x 8.386"" x 22.874""","63.485 L, 2.242 ft³"
Thermaltake Dokker,https://images-na.ssl-images-amazon.com/images/I/41d2lpUK29L.jpg,,Thermaltake,VM600M1W2Z,ATX Mid Tower,Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","320 mm / 12.598""","3 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"485 mm x 200 mm x 469 mm, 19.094"" x 7.874"" x 18.465""","45.493 L, 1.607 ft³"
Apevia X-Infinity,//cdna.pcpartpicker.com/static/forever/images/product/92d60e14ae90e7032283ff9f81c8da7d.256p.jpg,,Apevia,X-INFINITY-WH,ATX Mid Tower,White / Black,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"474 mm x 199 mm x 453 mm, 18.661"" x 7.835"" x 17.835""","42.73 L, 1.509 ft³"
Apevia X-Alien,https://images-na.ssl-images-amazon.com/images/I/41To%2BhlwRDL.jpg,,Apevia,MX-ALIEN-BK/500,ATX Full Tower,Black,500 W,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"5 x External 5.25"", 2 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"482 mm x 196 mm x 539 mm, 18.976"" x 7.717"" x 21.22""","50.92 L, 1.798 ft³"
Broadway Com Corp 1244MA,//cdna.pcpartpicker.com/static/forever/images/product/772270381aca68fe6b31a62011b4c370.256p.jpg,,Broadway Com Corp,1244MA-BLACK,ATX Mini Tower,Black,500 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 2 x External 3.5"", 2 x Internal 3.5""",4 x Full-Height,"350 mm x 170 mm x 350 mm, 13.78"" x 6.693"" x 13.78""","20.825 L, 0.735 ft³"
Foxconn G-007(H),https://m.media-amazon.com/images/I/41qA0fzoUxL.jpg,,Foxconn,G-007(H),MicroATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 4 x Internal 3.5""",7 x Full-Height,"480 mm x 210 mm x 450 mm, 18.898"" x 8.268"" x 17.717""","45.36 L, 1.602 ft³"
Cooler Master Elite 335 Upgraded,https://m.media-amazon.com/images/I/51jPQkpXvbL.jpg,,Cooler Master,RC-335U-KKN1,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX","315 mm / 12.402""","4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"492 mm x 193 mm x 426 mm, 19.37"" x 7.598"" x 16.772""","40.451 L, 1.429 ft³"
Rosewill BLACKHAWK-ULTRA,https://m.media-amazon.com/images/I/41f53lODPVL.jpg,,Rosewill,BLACKHAWK-ULTRA,ATX Full Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, HPTX, Micro ATX, Mini ITX, SSI CEB, XL ATX","404 mm / 15.906"" With Drive Cages, 433 mm / 17.047"" Without Drive Cages","4 x External 5.25"", 1 x External 3.5"", 10 x Internal 3.5""",10 x Full-Height,"660 mm x 240 mm x 635 mm, 25.984"" x 9.449"" x 25""","100.584 L, 3.552 ft³"
NZXT Switch 810,https://m.media-amazon.com/images/I/41pNxAPpIiL.jpg,,NZXT,"CA-SW810-M1, 8C-SWNL2-WWB, CSNZSW810MB",ATX Full Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX, Thin Mini ITX, XL ATX","285 mm / 11.22"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages","4 x External 5.25"", 6 x Internal 3.5""",9 x Full-Height,"234 mm x 595 mm x 584 mm, 9.213"" x 23.425"" x 22.992""","81.31 L, 2.871 ft³"
Xigmatek Asgard Pro,https://images-na.ssl-images-amazon.com/images/I/41x0lvnBpuL.jpg,,Xigmatek,CCC-AE37BS-U02,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX, Thin Mini ITX",,"3 x External 5.25"", 1 x External 3.5"", 7 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"199 mm x 445 mm x 469 mm, 7.835"" x 17.52"" x 18.465""","41.532 L, 1.467 ft³"
