Name,Image URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
Zotac AMP,//cdna.pcpartpicker.com/static/forever/images/product/0ab90a5887488b67bfd8d8b2eac73d7e.256p.jpg,,Zotac,ZT-P10610E-10M,GeForce GTX 1060 3GB,3 GB,GDDR5,1582 MHz,1797 MHz,8000 MHz,PCIe x16,Black / Silver,G-Sync,206 mm,120 W,2,2,2 Fans,1 PCIe 6-pin,1,3,1,N/A,N/A,N/A,N/A,N/A
MSI GAMING,//cdna.pcpartpicker.com/static/forever/images/product/c40ce7f227c5bbff5d8d51ffcaa184d3.256p.jpg,,MSI,"GTX 1080 Ti GAMING 11G, GEFORCE GTX 1080 Ti GAMING 11G",GeForce GTX 1080 Ti,11 GB,GDDR5X,1506 MHz,1620 MHz,11016 MHz,PCIe x16,Black / Red,G-Sync,290 mm,250 W,2,3,2 Fans,2 PCIe 8-pin,2,2,1,N/A,N/A,N/A,N/A,2-way SLI Capable
Gigabyte GAMING,//cdna.pcpartpicker.com/static/forever/images/product/e5bb77d7bfd684b2226dd9afb57eccc4.256p.jpg,,Gigabyte,GV-RX560GAMING OC-4GD V2,Radeon RX 560 - 1024,4 GB,GDDR5,1176 MHz,1234 MHz,7000 MHz,PCIe x16,Black / Orange,FreeSync,190 mm,90 W,2,2,2 Fans,None,1,1,1,N/A,N/A,N/A,N/A,2-way CrossFire Capable
XFX RX-560P4SFG5,https://images-eu.ssl-images-amazon.com/images/I/41N21nb7mqL.jpg,,XFX,RX-560P4SFG5,Radeon RX 560 - 1024,4 GB,GDDR5,1295 MHz,N/A,7000 MHz,PCIe x16,N/A,FreeSync,170 mm,90 W,2,2,1 Fan,1 PCIe 6-pin,1,1,1,N/A,N/A,N/A,N/A,2-way CrossFire Capable
MSI AERO,//cdna.pcpartpicker.com/static/forever/images/product/2d110093e76b3f3f7f9f6b7071a22e60.256p.jpg,,MSI,"GeForce RTX 2070 AERO 8G, RTX 2070 AERO 8G",GeForce RTX 2070,8 GB,GDDR6,1410 MHz,1620 MHz,14000 MHz,PCIe x16,Black / Green,G-Sync,268 mm,185 W,2,2,1 Fan,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Zotac GAMING AMP,https://m.media-amazon.com/images/I/41ql5LSH-5L.jpg,,Zotac,ZT-T20700D-10P,GeForce RTX 2070,8 GB,GDDR6,1410 MHz,1740 MHz,14000 MHz,PCIe x16,Black,G-Sync,268 mm,185 W,2,2,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
MSI AERO ITX,//cdna.pcpartpicker.com/static/forever/images/product/459da3fc6d9d3b2d0e0c3dad24d27a26.256p.jpg,,MSI,"RTX 2060 SUPER AERO ITX, GeForce RTX 2060 SUPER AERO ITX",GeForce RTX 2060 SUPER,8 GB,GDDR6,1470 MHz,1650 MHz,14000 MHz,PCIe x16,Black / White,G-Sync,174 mm,175 W,2,2,1 Fan,1 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Zotac AMP,//cdna.pcpartpicker.com/static/forever/images/product/3b474fc035889e0d77bdad3f7d3bdb56.256p.jpg,,Zotac,ZT-T20610D-10P,GeForce RTX 2060 SUPER,8 GB,GDDR6,1470 MHz,1680 MHz,14000 MHz,PCIe x16,Black,G-Sync,268 mm,175 W,2,2,2 Fans,1 PCIe 8-pin + 1 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,N/A
EVGA GAMING,//cdna.pcpartpicker.com/static/forever/images/product/ba0d7117c4a158557d623175867b6fe1.256p.jpg,,EVGA,11G-P4-2380-KR,GeForce RTX 2080 Ti,11 GB,GDDR6,1350 MHz,1545 MHz,14000 MHz,PCIe x16,Black,G-Sync,266 mm,250 W,2,2,1 Fan,2 PCIe 8-pin,1,2,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
Palit JetStream,//cdna.pcpartpicker.com/static/forever/images/product/bed466a2888b27d5c16051f499aea0f8.256p.jpg,,Palit,NE6207SS19P2-1040J,GeForce RTX 2070 SUPER,8 GB,GDDR6,1605 MHz,1815 MHz,14000 MHz,PCIe x16,Silver / Black,G-Sync,292 mm,215 W,2,3,2 Fans,2 PCIe 8-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
Zotac GAMING Low Profile,//cdna.pcpartpicker.com/static/forever/images/product/7d28dc82cfd80ef455d33f2cc9212eba.256p.jpg,,Zotac,ZT-T16520H-10L,GeForce GTX 1650 G6,4 GB,GDDR6,1410 MHz,1590 MHz,12000 MHz,PCIe x16,Black,G-Sync,160 mm,75 W,2,2,2 Fans,None,1,1,1,N/A,N/A,N/A,N/A,N/A
