Name,Image URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME
Transcend 250S,https://m.media-amazon.com/images/I/31ptqw8CCQL.jpg,$69.79 ,"
Transcend
",TS1TMTE250S,"
1 TB
","
$0.070
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Seagate Enterprise,https://images-eu.ssl-images-amazon.com/images/I/51UmDZjMEkL.jpg,$124.08 ,"
Seagate
",ST6000NM0034,"
6 TB
","
$0.021
","
7200 RPM
","
128 MB
","
3.5",,
Patriot Burst Elite,//cdna.pcpartpicker.com/static/forever/images/product/4f54e1bc4ab48be1c84ce0932985b8ba.256p.jpg,,"
Patriot
",PBE192TS25SSDR,"
1.92 TB
","
$0.048
","
SSD
",N/A,"
2.5",,
Gigabyte GP-GSTFS31256GTND,https://m.media-amazon.com/images/I/51HrCBPvLqS.jpg,$31.85 ,"
Gigabyte
",GP-GSTFS31256GTND,"
256 GB
","
$0.124
","
SSD
",N/A,"
2.5",,
Kingston NV1,//cdna.pcpartpicker.com/static/forever/images/product/f8b8691f92258f8712dcc51e1d10f3d7.256p.jpg,$31.99 ,"
Kingston
",SNVS/250G,"
250 GB
","
$0.128
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Acer Predator GM7,//cdna.pcpartpicker.com/static/forever/images/product/3d77a3321a6983701b4ce03c6f5114cf.256p.jpg,,"
Acer
",BL.9BWWR.118,"
1 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Addlink A95,https://m.media-amazon.com/images/I/31u+2WIBOML.jpg,$939.44 ,"
Addlink
",ad8TBA95M2P,"
8 TB
","
$0.117
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Seagate SkyHawk AI,//cdna.pcpartpicker.com/static/forever/images/product/79d11f419c95ed35130caec24af2ce50.256p.jpg,$424.50 ,"
Seagate
",ST20000VE002,"
20 TB
","
$0.021
","
7200 RPM
","
256 MB
","
3.5",,
Western Digital Red Pro,//cdna.pcpartpicker.com/static/forever/images/product/977ca659d80bda47e2df1db1921e5b39.256p.jpg,$299.99 ,"
Western Digital
",WD141KFGX,"
14 TB
","
$0.021
","
7200 RPM
",N/A,"
3.5",,
Intel 660p,//cdna.pcpartpicker.com/static/forever/images/product/b464bdec5854d8124047947b82b77599.256p.jpg,$76.00 ,"
Intel
",SSDPEKNW512G8X1,"
512 GB
","
$0.148
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Addlink S70,https://m.media-amazon.com/images/I/416JjHRIJxL.jpg,$42.44 ,"
Addlink
",ad512GBS70LTM2P,"
512 GB
","
$0.083
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Western Digital Caviar Green,https://images-na.ssl-images-amazon.com/images/I/516dmpgRAmL.jpg,,"
Western Digital
",WD20EARS,"
2 TB
",N/A,"
5400 RPM
","
64 MB
","
3.5",,
Verbatim Vi7000G,//cdna.pcpartpicker.com/static/forever/images/product/f72f99bba29a0a9fd99971b378c322ab.256p.jpg,$129.99 ,"
Verbatim
",49368,"
2 TB
","
$0.065
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Western Digital Gold,//cdna.pcpartpicker.com/static/forever/images/product/796784976dd0b853533e11d1c302082b.256p.jpg,$246.99 ,"
Western Digital
",WD102KRYZ,"
10 TB
","
$0.025
","
7200 RPM
","
256 MB
","
3.5",,
Western Digital Green,https://images-eu.ssl-images-amazon.com/images/I/41i1kcnmsnL.jpg,$47.00 ,"
Western Digital
",WDS120G1G0B,"
120 GB
","
$0.392
","
SSD
",N/A,"
M.2-2280
","
M.2 SATA
",No
ADATA XPG SX8200 Pro,//cdna.pcpartpicker.com/static/forever/images/product/b57859de3be232130e21cae9181f2138.256p.jpg,$59.89 ,"
ADATA
",ASX8200PNP-256GT-C,"
256 GB
","
$0.234
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Intel Optane P1600X,//cdna.pcpartpicker.com/static/forever/images/product/b6d3931fe1361d23524d20a2679eb34e.256p.jpg,,"
Intel
",SSDPEK1A058GA01,"
58 GB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Western Digital Black,https://m.media-amazon.com/images/I/41GiPDFcvkL.jpg,$235.48 ,"
Western Digital
",WD6002FZWX,"
6 TB
","
$0.039
","
7200 RPM
","
128 MB
","
3.5",,
Western Digital Caviar Blue,https://m.media-amazon.com/images/I/51mHVMyLvhL.jpg,$72.31 ,"
Western Digital
",WD5000AAKS,"
500 GB
","
$0.145
","
7200 RPM
","
16 MB
","
3.5",,
Samsung Spinpoint F4,https://m.media-amazon.com/images/I/41fe7Tloq4L.jpg,,"
Samsung
",HD204UI,"
2 TB
",N/A,"
5400 RPM
","
32 MB
","
3.5",,
Seagate Momentus,https://m.media-amazon.com/images/I/51N3659kN8L.jpg,,"
Seagate
",ST1000LM024,"
1 TB
",N/A,"
5400 RPM
","
8 MB
","
2.5",,
Maxtor 7Y250M0,https://m.media-amazon.com/images/I/41LaFiehjZL.jpg,,"
Maxtor
",7Y250M0,"
250 GB
",N/A,"
7200 RPM
","
8 MB
","
3.5",,
SATA 1.5 Gb/s,,,,,,,,,,,
Intel DC P3608,https://images-na.ssl-images-amazon.com/images/I/41tF43Wbj6L.jpg,,"
Intel
",SSDPECME016T401,"
1.6 TB
",N/A,"
SSD
",N/A,"
PCIe
","
PCIe x8
",No
SK Hynix SL308,https://images-na.ssl-images-amazon.com/images/I/41m6n8XB2ZL.jpg,$70.00 ,"
SK Hynix
",HFS250G32TND-N1A2A,"
250 GB
","
$0.280
","
SSD
",N/A,"
2.5",,
Seagate IronWolf Pro,//cdna.pcpartpicker.com/static/forever/images/product/0f77069d2071aa9591b9812527783c2c.256p.jpg,,"
Seagate
",ST12000NE0007,"
12 TB
",N/A,"
7200 RPM
","
256 MB
","
3.5",,
Seagate Nytro Enterprise,//cdna.pcpartpicker.com/static/forever/images/product/606067f516f9fa881418307bbd61e66d.256p.jpg,,"
Seagate
",XA3840LE10063,"
3.84 TB
",N/A,"
SSD
",N/A,"
2.5",,
Seagate BarraCuda 510,//cdna.pcpartpicker.com/static/forever/images/product/d876cbc2949788d13b735c8c85429d10.256p.jpg,$59.99 ,"
Seagate
",ZP500CM3A001,"
500 GB
","
$0.120
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB,https://m.media-amazon.com/images/I/51R-jz1DnSL.jpg,,"
TEAMGROUP
",T253TT001T3C313,"
1 TB
",N/A,"
SSD
",N/A,"
2.5",,
Toshiba X300,https://m.media-amazon.com/images/I/41IqPsOhW2L.jpg,$199.00 ,"
Toshiba
",HDWR11AXZSTA,"
10 TB
","
$0.020
","
7200 RPM
","
256 MB
","
3.5",,
Western Digital Red SA500,//cdna.pcpartpicker.com/static/forever/images/product/c02f3160d588dc6369fb0cefcb691a77.256p.jpg,$89.99 ,"
Western Digital
",WDS100T1R0B,"
1 TB
","
$0.090
","
SSD
",N/A,"
M.2-2280
","
M.2 SATA
",No
Toshiba P300,//cdna.pcpartpicker.com/static/forever/images/product/1f5d20cfd6afb86d3ea35424790a3041.256p.jpg,$110.07 ,"
Toshiba
",HDWD240UZSVA,"
4 TB
","
$0.028
","
5400 RPM
","
128 MB
","
3.5",,
Samsung Spinpoint M8,/static/forever/img/no-image.png,$38.36 ,"
Samsung
",ST1000LM024,"
1 TB
","
$0.038
","
5400 RPM
","
8 MB
","
2.5",,
Samsung PM893,//cdna.pcpartpicker.com/static/forever/images/product/921c4e493c902e4086752efe2a88ce0b.256p.jpg,$496.75 ,"
Samsung
",MZ-7L33T800,"
3.84 TB
","
$0.129
","
SSD
",N/A,"
2.5",,
Patriot Viper VP4300,//cdna.pcpartpicker.com/static/forever/images/product/e87b8e7a31c106ae0548e56bec8d1ff2.256p.jpg,$169.99 ,"
Patriot
",VP4300-2TBM28H,"
2 TB
","
$0.085
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
ADATA XPG SX6000,https://m.media-amazon.com/images/I/51v1c8566WL.jpg,$78.75 ,"
ADATA
",ASX6000NP-128GT-C,"
128 GB
","
$0.615
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X2
",No
Kingston SSDNow 200,https://m.media-amazon.com/images/I/41tb83RNeOL.jpg,,"
Kingston
",SS200S3/30G,"
30 GB
","
$1.387
","
SSD
",N/A,"
2.5",,
Toshiba P300,//cdna.pcpartpicker.com/static/forever/images/product/c5def85f6112a2cacbe075936c359923.256p.jpg,$73.86 ,"
Toshiba
",HDWD320UZSVA,"
2 TB
","
$0.037
","
5400 RPM
","
256 MB
","
3.5",,
Verbatim Vi560,//cdna.pcpartpicker.com/static/forever/images/product/8b0d73810c73ff720eacfcc27a416938.256p.jpg,$57.07 ,"
Verbatim
",70384,"
512 GB
","
$0.111
","
SSD
",N/A,"
M.2-2280
","
M.2 SATA
",No
Transcend MTE240S,//cdna.pcpartpicker.com/static/forever/images/product/86e9ad7fc047c07a11cb685a3db595e7.256p.jpg,$57.45 ,"
Transcend
",TS500GMTE240S,"
500 GB
","
$0.115
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Mushkin Pilot-E,//cdna.pcpartpicker.com/static/forever/images/product/24f833787c933f03370e6ab86be08e39.256p.jpg,$153.07 ,"
Mushkin
",MKNSSDPE2TB-D8,"
2 TB
","
$0.077
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Samsung PM893,//cdna.pcpartpicker.com/static/forever/images/product/921c4e493c902e4086752efe2a88ce0b.256p.jpg,$77.09 ,"
Samsung
",MZ-7L324000,"
240 GB
","
$0.321
","
SSD
",N/A,"
2.5",,
OCZ Vertex 3,https://m.media-amazon.com/images/I/41qsfQ6M+bL.jpg,,"
OCZ
",VTX3-25SAT3-120G,"
120 GB
",N/A,"
SSD
",N/A,"
2.5",,
HP EX900,//cdna.pcpartpicker.com/static/forever/images/product/fba9b435d31dfb71a6ea13d4aa6854b6.256p.jpg,,"
HP
",5XM46AA#ABC,"
1 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Silicon Power UD85,/static/forever/img/no-image.png,,"
Silicon Power
",SP04KGBP44UD8505,"
4 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
