Name,Image URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
Thermaltake TH240 V2 ARGB Sync,//cdna.pcpartpicker.com/static/forever/images/product/556c18ef844e0e7296f7dd7f8010d690.256p.jpg,$84.99 ,Thermaltake,TH240 V2 ARGB Sync,CL-W361-PL12SW-A,500 - 2000 RPM,25.8 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Corsair H60 (2018),https://images-eu.ssl-images-amazon.com/images/I/41Rplt8FRlL.jpg,,Corsair,H60 (2018),CW-9060036-WW,1700 RPM,28.3 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 120 mm,No,9
Thermalright Assassin King 120 MINI V2,https://m.media-amazon.com/images/I/41urKMAGk6L.jpg,$19.89 ,Thermalright,Assassin King 120 MINI V2,"AK120 MINI V2, Assassin King 120 MINI V2",1500 RPM,25.6 dB,Black / Silver,135 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Thermalright Silver Soul 135,https://m.media-amazon.com/images/I/41WP6CUSJGL.jpg,$34.90 ,Thermalright,Silver Soul 135,"Silver Soul 135 BLACK-D2, Silver Soul 135 Black, SS135 BLACK",1850 RPM,29.6 dB,Black,135 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Enermax Liqmax III 360 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/bf5608dbc8dfdced660474b856e224f0.256p.jpg,$82.99 ,Enermax,Liqmax III 360 ARGB,ELC-LMT360-ARGB,500 - 1600 RPM,14 - 27 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Thermalright AXP120-X67,https://m.media-amazon.com/images/I/41z2rCZPDML.jpg,$43.90 ,Thermalright,N/A,AXP120-X67,1800 RPM,26.1 dB,Gray,67 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
ID-COOLING IS-67-XT,https://m.media-amazon.com/images/I/41f6nBfn47L.jpg,$34.99 ,ID-COOLING,IS-67-XT,IS-67-XT BLACK,500 - 2200 RPM,35.2 dB,Black,67 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Jonsbo CR-1400 EVO Color White,//cdna.pcpartpicker.com/static/forever/images/product/1bd24e4c48099d07ed7ba138edbbb7fe.256p.jpg,$24.88 ,Jonsbo,N/A,CR-1400 EVO Color White,800 - 2200 RPM,22.3 - 33.8 dB,White,130 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
be quiet! Pure Loop 2,//cdna.pcpartpicker.com/static/forever/images/product/6e0b2968e65605ca10fcb219738dd66d.256p.jpg,$104.90 ,be quiet!,N/A,BW019,N/A,17.2 - 36.8 dB,Black,42 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
NZXT Kraken X73 RGB,//cdna.pcpartpicker.com/static/forever/images/product/0d99565a8dafa7f8051ba6b1fe1b2fb6.256p.jpg,$279.99 ,NZXT,Kraken X73 RGB,RL-KRX73-RW,500 - 1500 RPM,22 - 33 dB,White / Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
ARCTIC Freezer 36 CO,https://m.media-amazon.com/images/I/41klfemXo4L.jpg,$27.71 ,ARCTIC,N/A,ACFRE00122A,200 - 1800 RPM,N/A,Black / Silver,159 mm,"AM4, AM5, LGA1700",No,No,8
Cooler Master I30,https://m.media-amazon.com/images/I/41tUXRgwstL.jpg,$13.30 ,Cooler Master,I30,"RH-I30-26FK-R1, I30",2600 RPM,28 dB,Black / Silver,55 mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No,10
Gigabyte AORUS WATERFORCE 360,//cdna.pcpartpicker.com/static/forever/images/product/3f6f3ab6e605c0fbe91cb09d59f3be09.256p.jpg,$159.99 ,Gigabyte,AORUS WATERFORCE 360,"GP-AORUS WATERFORCE 360, AORUS WATERFORCE 360",950 - 2150 RPM,16.9 - 31 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
NZXT Kraken X53 RGB,//cdna.pcpartpicker.com/static/forever/images/product/bef67a1d0d36c5566a21678a772ff7ec.256p.jpg,$250.00 ,NZXT,Kraken X53 RGB,RL-KRX53-R1,500 - 1500 RPM,22 - 33 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
ID-COOLING SE-225-XT,https://m.media-amazon.com/images/I/41QYsPgSH5L.jpg,$34.99 ,ID-COOLING,SE-225-XT,SE-225-XT Black,700 - 1800 RPM,15.2 - 35.2 dB,Black,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Asus ROG STRIX LC II,https://m.media-amazon.com/images/I/41Y+WoHpooL.jpg,$129.99 ,Asus,N/A,"ROG STRIX LC II 360, 90RC00F0-M0AAY0",800 - 2500 RPM,37.6 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011-3 Narrow",Yes - 360 mm,No,8
Asus ROG RYUJIN II ARGB,//cdna.pcpartpicker.com/static/forever/images/product/b5132345791aba8e349d990eb770c8e5.256p.jpg,$340.24 ,Asus,N/A,"ROG RYUJIN II 240 ARGB, 90RC00A1-S0P000",N/A,N/A,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,6
